step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_waiting_time
460.0,13,243.0,7.147058823529412,6.4223900562659635,13,273.0,0.2807896938772536,13,273.0,125.20588235294117
465.0,12,283.0,8.323529411764707,5.823922224624176,12,315.0,0.253666575189492,12,315.0,127.26470588235294
470.0,11,319.0,9.114285714285714,6.706291085623855,11,347.0,0.3687393513596081,11,347.0,125.2
475.0,8,116.0,3.3142857142857145,7.4841890210813435,8,189.0,0.4332461083297211,8,189.0,126.51428571428572
480.0,12,168.0,5.25,5.40066118792833,12,187.0,0.24820752203868623,12,187.0,140.0
485.0,16,96.0,2.909090909090909,4.417992381277038,16,195.0,0.22737754376802183,16,195.0,138.0909090909091
490.0,16,163.0,5.258064516129032,4.681065895035641,16,192.0,0.2301012114173284,16,192.0,149.48387096774192
495.0,14,157.0,4.485714285714286,4.291374172616022,14,236.0,0.1960785598511054,14,236.0,134.74285714285713
500.0,11,145.0,4.142857142857143,6.1555850356739565,11,239.0,0.28987160660118416,11,239.0,136.6
505.0,10,179.0,4.837837837837838,7.6404422035387425,10,236.0,0.39462539583377526,10,236.0,130.48648648648648
510.0,7,77.0,1.9743589743589745,7.541754254235215,7,202.0,0.4812625255826313,7,202.0,124.8974358974359
515.0,11,125.0,3.787878787878788,5.906561705854505,11,176.0,0.32180186595986454,11,176.0,149.06060606060606
520.0,14,161.0,4.351351351351352,5.107893316731226,14,218.0,0.23145768421748508,14,218.0,134.83783783783784
525.0,12,207.0,6.2727272727272725,4.912395876160895,12,245.0,0.17457962807684232,12,245.0,153.24242424242425
530.0,11,81.0,2.25,5.151999147178469,11,222.0,0.25024986589114023,11,222.0,142.08333333333334
535.0,11,99.0,3.0,5.403717166653683,11,160.0,0.22663910561021308,11,160.0,156.54545454545453
540.0,11,110.0,3.235294117647059,4.879848888826173,11,179.0,0.19568694826538333,11,179.0,153.7941176470588
545.0,10,131.0,3.638888888888889,6.388893550692812,10,192.0,0.3082141581575115,10,192.0,146.77777777777777
550.0,10,119.0,3.2162162162162162,5.550700020355,10,186.0,0.291481710947466,10,186.0,144.0810810810811
555.0,17,191.0,5.617647058823529,4.484261736548163,17,259.0,0.18069866653071195,17,259.0,158.94117647058823
560.0,15,226.0,6.108108108108108,4.6276885039647855,15,312.0,0.20134781271963734,15,312.0,148.35135135135135
565.0,12,254.0,7.470588235294118,4.823796673368655,12,331.0,0.21775698044240593,12,331.0,163.38235294117646
570.0,8,145.0,3.918918918918919,5.09578659342779,8,313.0,0.2545343142268998,8,313.0,151.67567567567568
575.0,12,156.0,4.875,4.451240600793733,12,256.0,0.17066982080445303,12,256.0,176.75
580.0,14,168.0,3.9069767441860463,5.7649904388080975,14,281.0,0.32489156563656735,14,281.0,133.04651162790697
585.0,10,174.0,4.461538461538462,6.055917950248913,10,280.0,0.33381765584373546,10,280.0,148.17948717948718
590.0,10,68.0,1.5813953488372092,5.177511730213326,10,180.0,0.25967316691579656,10,180.0,135.58139534883722
595.0,19,139.0,3.5641025641025643,4.082100219932739,19,254.0,0.15333683770211584,19,254.0,151.3846153846154
600.0,17,190.0,4.75,3.0018806904186888,17,313.0,0.13366581086050167,17,313.0,150.0
605.0,16,237.0,6.2368421052631575,3.651351280866671,16,344.0,0.17298851167854432,16,344.0,160.18421052631578
610.0,9,124.0,2.9523809523809526,4.578136101625499,9,325.0,0.2176238061296176,9,325.0,146.45238095238096
615.0,11,126.0,2.8636363636363638,5.552459591690497,11,250.0,0.2717224717055994,11,250.0,140.88636363636363
620.0,12,146.0,3.1739130434782608,5.113217350509074,12,278.0,0.2610583073131956,12,278.0,136.2173913043478
625.0,12,172.0,3.909090909090909,4.331351994156758,12,286.0,0.17636574050151058,12,286.0,143.97727272727272
630.0,11,65.0,1.4444444444444444,5.134837092223522,11,266.0,0.24927709524037164,11,266.0,142.2
635.0,14,113.0,2.825,3.8428867701459963,14,244.0,0.13323910008741888,14,244.0,161.4
640.0,17,158.0,3.590909090909091,4.202462637331386,17,296.0,0.18363369164841142,17,296.0,148.77272727272728
645.0,13,184.0,4.717948717948718,3.8693968288350393,13,298.0,0.13569997571842043,13,298.0,169.71794871794873
650.0,8,75.0,1.5625,5.78490743758415,8,269.0,0.3201462607944041,8,269.0,139.0
655.0,10,70.0,1.5217391304347827,6.087768230450917,10,205.0,0.3364725548205828,10,205.0,145.93478260869566
660.0,12,82.0,1.8222222222222222,4.689829454043536,12,201.0,0.20902504509348102,12,201.0,150.51111111111112
665.0,16,104.0,2.311111111111111,4.19695801377079,16,208.0,0.17170571698649173,16,208.0,152.0888888888889
670.0,11,72.0,1.6363636363636365,3.993994810850511,11,211.0,0.18861216349433146,11,211.0,157.13636363636363
675.0,17,141.0,3.2045454545454546,3.867259010718557,17,261.0,0.13554055537732318,17,261.0,158.75
680.0,18,185.0,4.204545454545454,3.723623967125359,18,319.0,0.13948785047696402,18,319.0,160.97727272727272
685.0,17,214.0,4.6521739130434785,4.454087416486559,17,324.0,0.19394882290627186,17,324.0,155.93478260869566
690.0,10,96.0,2.0869565217391304,5.367335833251258,10,307.0,0.25818839049352826,10,307.0,157.3695652173913
695.0,9,92.0,2.090909090909091,5.268354545541386,9,247.0,0.2757234609259061,9,247.0,165.36363636363637
700.0,13,111.0,2.522727272727273,4.148292220821905,13,243.0,0.15149951621065147,13,243.0,166.70454545454547
705.0,12,132.0,3.0,4.740967811225172,12,247.0,0.1904374463210841,12,247.0,168.22727272727272
710.0,10,138.0,3.2093023255813953,4.577089580300427,10,269.0,0.16579189172033912,10,269.0,173.34883720930233
715.0,15,199.0,4.975,3.4564594659147176,15,316.0,0.16264586751207238,15,316.0,187.9
720.0,15,233.0,5.9743589743589745,2.757961259198377,15,359.0,0.09942227772592391,15,359.0,194.7948717948718
725.0,15,259.0,5.51063829787234,5.049592548559502,15,365.0,0.29591750087621493,15,365.0,163.17021276595744
730.0,10,158.0,3.3617021276595747,4.3712301448318795,10,291.0,0.21126068931011227,10,291.0,164.4255319148936
735.0,18,231.0,4.714285714285714,3.3671580142510003,18,364.0,0.1410798773884035,18,364.0,159.20408163265307
740.0,21,286.0,6.085106382978723,2.6550715269989165,21,424.0,0.10380432243748235,21,424.0,168.2340425531915
745.0,20,335.0,6.7,3.586279994895304,20,452.0,0.15634225303876298,20,452.0,160.18
750.0,11,137.0,2.795918367346939,4.2798201445311825,11,396.0,0.16374338830930166,11,396.0,164.9795918367347
755.0,10,98.0,2.0416666666666665,4.24319159412296,10,288.0,0.17102456920840417,10,288.0,169.39583333333334
760.0,14,119.0,2.3333333333333335,4.631761859823428,14,263.0,0.23139557656979193,14,263.0,160.64705882352942
765.0,14,144.0,2.769230769230769,5.3631098783005635,14,244.0,0.2461763952874113,14,244.0,158.84615384615384
770.0,15,188.0,3.836734693877551,4.9356353337061085,15,267.0,0.17127741374430544,15,267.0,169.77551020408163
775.0,11,94.0,1.9583333333333333,4.965553537026175,11,259.0,0.22705458850331534,11,259.0,174.6875
780.0,15,150.0,3.409090909090909,4.375789441711785,15,242.0,0.1666033096211199,15,242.0,192.02272727272728
785.0,18,197.0,4.191489361702128,4.0783319209164715,18,300.0,0.1675586711162033,18,300.0,181.72340425531914
790.0,15,233.0,5.4186046511627906,3.6591251991796936,15,338.0,0.10541599234271211,15,338.0,200.58139534883722
795.0,11,90.0,1.7307692307692308,5.747407334233257,11,302.0,0.32536965838375653,11,302.0,167.17307692307693
800.0,10,56.0,1.1666666666666667,5.802748978520962,10,216.0,0.31057608013768057,10,216.0,181.95833333333334
805.0,12,62.0,1.2156862745098038,4.380140120052491,12,223.0,0.20575130903193,12,223.0,172.35294117647058
810.0,19,97.0,2.0638297872340425,3.9263681203119347,19,255.0,0.1343476087024904,19,255.0,188.82978723404256
815.0,15,148.0,3.0833333333333335,5.2944270165997995,15,282.0,0.20612614780385485,15,282.0,186.60416666666666
820.0,11,125.0,2.7777777777777777,4.652334696264051,11,290.0,0.2009526221506491,11,290.0,200.57777777777778
825.0,17,198.0,4.5,4.621656436994433,17,328.0,0.1948957614568767,17,328.0,206.79545454545453
830.0,20,250.0,5.208333333333333,4.169335723598684,20,388.0,0.22128093294140228,20,388.0,191.54166666666666
835.0,15,292.0,6.3478260869565215,5.007820072179331,15,408.0,0.26192964217327674,15,408.0,201.69565217391303
840.0,7,153.0,3.3260869565217392,4.4089141591063195,7,363.0,0.18483423052528103,7,363.0,203.0
845.0,12,108.0,2.4545454545454546,4.52247177300996,12,268.0,0.24428647382224322,12,268.0,213.3409090909091
850.0,16,149.0,3.311111111111111,3.580617515541612,16,318.0,0.14668702042924017,16,318.0,210.37777777777777
855.0,17,187.0,4.065217391304348,4.501804916703636,17,353.0,0.17424846016291737,17,353.0,207.58695652173913
860.0,12,195.0,4.333333333333333,4.261286925390259,12,357.0,0.1664588569994137,12,357.0,213.86666666666667
865.0,13,235.0,5.108695652173913,5.231100690973906,13,341.0,0.2753805165148686,13,341.0,210.45652173913044
870.0,14,265.0,5.3,5.27975171733823,14,372.0,0.2857120902114456,14,372.0,195.12
875.0,13,290.0,6.170212765957447,4.752629775519176,13,381.0,0.20156237040270164,13,381.0,208.9787234042553
880.0,18,342.0,6.979591836734694,5.429877939083747,18,411.0,0.21200975781534687,18,411.0,202.0
885.0,12,232.0,5.2727272727272725,4.89423453405533,12,399.0,0.2241755720760386,12,399.0,226.75
890.0,17,284.0,6.454545454545454,4.495314078296437,17,371.0,0.21061123863615125,17,371.0,228.29545454545453
895.0,18,334.0,7.9523809523809526,4.227308637199263,18,421.0,0.13212544053254976,18,421.0,241.38095238095238
900.0,13,358.0,8.95,4.430382624844057,13,436.0,0.1705502952039936,13,436.0,255.25
905.0,8,275.0,6.25,5.702823766178674,8,413.0,0.2908333259292416,8,413.0,233.1818181818182
910.0,11,294.0,6.837209302325581,5.423505619742631,11,383.0,0.2950395879878092,11,383.0,239.6046511627907
915.0,13,318.0,7.571428571428571,3.482027851965011,13,415.0,0.14169135337920918,13,415.0,246.85714285714286
